"participant" "drink" "imagery" "attitude"
"P1" "beer" "pos" 1
"P1" "beer" "neg" 6
"P1" "beer" "neu" 5
"P1" "wine" "pos" 38
"P1" "wine" "neg" -5
"P1" "wine" "neu" 4
"P1" "water" "pos" 10
"P1" "water" "neg" -14
"P1" "water" "neu" -2
"P2" "beer" "pos" 43
"P2" "beer" "neg" 30
"P2" "beer" "neu" 8
"P2" "wine" "pos" 20
"P2" "wine" "neg" -12
"P2" "wine" "neu" 4
"P2" "water" "pos" 9
"P2" "water" "neg" -10
"P2" "water" "neu" -13
"P3" "beer" "pos" 15
"P3" "beer" "neg" 15
"P3" "beer" "neu" 12
"P3" "wine" "pos" 20
"P3" "wine" "neg" -15
"P3" "wine" "neu" 6
"P3" "water" "pos" 6
"P3" "water" "neg" -16
"P3" "water" "neu" 1
"P4" "beer" "pos" 40
"P4" "beer" "neg" 30
"P4" "beer" "neu" 19
"P4" "wine" "pos" 28
"P4" "wine" "neg" -4
"P4" "wine" "neu" 0
"P4" "water" "pos" 20
"P4" "water" "neg" -10
"P4" "water" "neu" 2
"P5" "beer" "pos" 8
"P5" "beer" "neg" 12
"P5" "beer" "neu" 8
"P5" "wine" "pos" 11
"P5" "wine" "neg" -2
"P5" "wine" "neu" 6
"P5" "water" "pos" 27
"P5" "water" "neg" 5
"P5" "water" "neu" -5
"P6" "beer" "pos" 17
"P6" "beer" "neg" 17
"P6" "beer" "neu" 15
"P6" "wine" "pos" 17
"P6" "wine" "neg" -6
"P6" "wine" "neu" 6
"P6" "water" "pos" 9
"P6" "water" "neg" -6
"P6" "water" "neu" -13
"P7" "beer" "pos" 30
"P7" "beer" "neg" 21
"P7" "beer" "neu" 21
"P7" "wine" "pos" 15
"P7" "wine" "neg" -2
"P7" "wine" "neu" 16
"P7" "water" "pos" 19
"P7" "water" "neg" -20
"P7" "water" "neu" 3
"P8" "beer" "pos" 34
"P8" "beer" "neg" 23
"P8" "beer" "neu" 28
"P8" "wine" "pos" 27
"P8" "wine" "neg" -7
"P8" "wine" "neu" 7
"P8" "water" "pos" 12
"P8" "water" "neg" -12
"P8" "water" "neu" 2
"P9" "beer" "pos" 34
"P9" "beer" "neg" 20
"P9" "beer" "neu" 26
"P9" "wine" "pos" 24
"P9" "wine" "neg" -10
"P9" "wine" "neu" 12
"P9" "water" "pos" 12
"P9" "water" "neg" -9
"P9" "water" "neu" 4
"P10" "beer" "pos" 26
"P10" "beer" "neg" 27
"P10" "beer" "neu" 27
"P10" "wine" "pos" 23
"P10" "wine" "neg" -15
"P10" "wine" "neu" 14
"P10" "water" "pos" 21
"P10" "water" "neg" -6
"P10" "water" "neu" 0
"P11" "beer" "pos" 1
"P11" "beer" "neg" -19
"P11" "beer" "neu" -10
"P11" "wine" "pos" 28
"P11" "wine" "neg" -13
"P11" "wine" "neu" 13
"P11" "water" "pos" 33
"P11" "water" "neg" -2
"P11" "water" "neu" 9
"P12" "beer" "pos" 7
"P12" "beer" "neg" -18
"P12" "beer" "neu" 6
"P12" "wine" "pos" 26
"P12" "wine" "neg" -16
"P12" "wine" "neu" 19
"P12" "water" "pos" 23
"P12" "water" "neg" -17
"P12" "water" "neu" 5
"P13" "beer" "pos" 22
"P13" "beer" "neg" -8
"P13" "beer" "neu" 4
"P13" "wine" "pos" 34
"P13" "wine" "neg" -23
"P13" "wine" "neu" 14
"P13" "water" "pos" 21
"P13" "water" "neg" -19
"P13" "water" "neu" 0
"P14" "beer" "pos" 30
"P14" "beer" "neg" -6
"P14" "beer" "neu" 3
"P14" "wine" "pos" 32
"P14" "wine" "neg" -22
"P14" "wine" "neu" 21
"P14" "water" "pos" 17
"P14" "water" "neg" -11
"P14" "water" "neu" 4
"P15" "beer" "pos" 40
"P15" "beer" "neg" -6
"P15" "beer" "neu" 0
"P15" "wine" "pos" 24
"P15" "wine" "neg" -9
"P15" "wine" "neu" 19
"P15" "water" "pos" 15
"P15" "water" "neg" -10
"P15" "water" "neu" 2
"P16" "beer" "pos" 15
"P16" "beer" "neg" -9
"P16" "beer" "neu" 4
"P16" "wine" "pos" 29
"P16" "wine" "neg" -18
"P16" "wine" "neu" 7
"P16" "water" "pos" 13
"P16" "water" "neg" -17
"P16" "water" "neu" 8
"P17" "beer" "pos" 20
"P17" "beer" "neg" -17
"P17" "beer" "neu" 9
"P17" "wine" "pos" 30
"P17" "wine" "neg" -17
"P17" "wine" "neu" 12
"P17" "water" "pos" 16
"P17" "water" "neg" -4
"P17" "water" "neu" 10
"P18" "beer" "pos" 9
"P18" "beer" "neg" -12
"P18" "beer" "neu" -5
"P18" "wine" "pos" 24
"P18" "wine" "neg" -15
"P18" "wine" "neu" 18
"P18" "water" "pos" 17
"P18" "water" "neg" -4
"P18" "water" "neu" 8
"P19" "beer" "pos" 14
"P19" "beer" "neg" -11
"P19" "beer" "neu" 7
"P19" "wine" "pos" 34
"P19" "wine" "neg" -14
"P19" "wine" "neu" 20
"P19" "water" "pos" 19
"P19" "water" "neg" -1
"P19" "water" "neu" 12
"P20" "beer" "pos" 15
"P20" "beer" "neg" -6
"P20" "beer" "neu" 13
"P20" "wine" "pos" 23
"P20" "wine" "neg" -15
"P20" "wine" "neu" 15
"P20" "water" "pos" 29
"P20" "water" "neg" -1
"P20" "water" "neu" 10
