"","earn","sex","race","hisp","ed","height","age"
"3",50000,"male","white","no","university or higher",74,45
"4",60000,"female","white","no","university or higher",66,58
"5",30000,"female","white","no","university or higher",64,29
"9",51000,"female","white","no","university or higher",63,39
"10",9000,"female","white","no","university or higher",64,26
"11",29000,"female","white","no","high school",62,49
"12",32000,"male","white","no","university or higher",73,46
"15",27000,"male","white","no","high school",72,26
"16",6530,"male","white","no","university or higher",70,65
"18",30000,"male","white","no","high school",68,34
"19",12000,"male","white","no","high school",68,27
"21",12000,"female","white","no","high school",65,51
"26",22000,"female","white","no","university or higher",66,35
"29",17000,"male","white","no","high school",68,58
"30",40000,"female","white","no","university or higher",68,29
"31",44000,"male","white","no","university or higher",70,44
"33",7000,"female","black","no","high school",64,55
"34",53000,"male","black","no","university or higher",73,35
"38",14000,"female","white","no","university or higher",63,21
"40",5500,"male","white","no","university or higher",67,22
"41",40000,"female","white","no","high school",66,41
"42",34000,"male","white","no","high school",72,45
"45",10000,"female","black","no","high school",63,35
"47",27000,"female","white","no","university or higher",64,60
"51",50000,"male","white","no","university or higher",72,38
"53",41000,"male","white","no","university or higher",77,33
"55",15000,"female","white","no","university or higher",64,25
"56",25000,"female","white","no","high school",64,33
"58",75000,"male","white","no","university or higher",72,39
"60",27000,"male","white","no","university or higher",68,31
"61",12000,"female","white","no","high school",64,26
"63",7500,"female","white","no","university or higher",61,78
"67",30000,"female","black","no","university or higher",67,31
"68",21000,"female","white","no","high school",65,57
"69",27000,"female","white","no","university or higher",64,26
"72",25000,"female","white","no","high school",65,30
"73",24000,"female","white","no","high school",65,41
"74",32000,"female","white","no","university or higher",67,29
"77",10000,"female","white","no","university or higher",68,30
"79",11000,"female","white","yes","high school",60,21
"80",18700,"female","white","no","university or higher",65,32
"81",20000,"female","white","no","high school",62,29
"84",13000,"male","black","no","elementary",67,56
"86",25000,"male","white","no","high school",70,65
"87",21000,"male","white","no","university or higher",70,41
"88",34000,"female","white","no","university or higher",68,49
"91",6000,"female","white","no","high school",60,65
"92",17000,"male","white","no","high school",71,28
"94",35000,"male","white","no","high school",71,32
"97",14000,"female","white","no","university or higher",68,55
"98",10000,"female","white","no","high school",66,57
"100",25000,"male","white","no","university or higher",69,29
"104",16000,"female","white","no","university or higher",63,27
"108",16000,"male","white","yes","university or higher",62,28
"110",16500,"female","white","no","university or higher",64,43
"115",22000,"male","white","no","high school",71,39
"117",26000,"female","white","no","university or higher",66,27
"119",17000,"female","white","no","university or higher",65,39
"121",8000,"female","white","no","university or higher",70,22
"124",12000,"female","white","no","university or higher",66,68
"125",10000,"female","white","no","high school",62,47
"128",10000,"female","white","no","university or higher",66,67
"130",15000,"male","white","no","high school",72,39
"137",30000,"male","white","yes","high school",68,32
"138",30000,"male","white","no","high school",70,33
"139",10000,"female","white","no","high school",62,38
"142",12000,"female","white","no","university or higher",66,63
"143",20000,"female","white","no","high school",70,61
"144",20000,"female","white","no","high school",68,36
"145",20000,"male","white","no","university or higher",70,23
"153",20000,"male","white","no","university or higher",70,27
"154",10000,"female","white","yes","high school",61,22
"155",30000,"female","white","no","high school",63,73
"157",40000,"female","white","no","university or higher",64,56
"158",25000,"male","white","no","high school",67,89
"161",10000,"female","white","no","university or higher",61,79
"162",60000,"female","white","no","university or higher",69,63
"165",18000,"female","white","no","high school",68,66
"168",16040,"female","white","no","high school",64,33
"169",15000,"female","black","no","university or higher",67,30
"170",10000,"male","white","no","university or higher",69,23
"171",33000,"female","white","no","university or higher",67,43
"172",18000,"female","white","no","high school",68,30
"173",15000,"female","white","no","high school",63,37
"174",21000,"male","white","no","high school",71,22
"175",21000,"female","black","no","university or higher",64,43
"176",37000,"male","white","no","high school",68,37
"177",38000,"female","white","no","university or higher",68,44
"178",17000,"female","white","yes","university or higher",66,43
"182",32000,"male","white","no","university or higher",77,30
"184",27500,"female","white","no","high school",67,58
"186",16500,"female","white","no","high school",62,44
"190",25000,"female","white","no","university or higher",67,35
"191",27000,"female","white","no","university or higher",61,43
"194",70000,"female","white","no","university or higher",62,38
"199",20000,"female","white","no","university or higher",64,26
"202",60000,"female","white","no","university or higher",64,35
"204",30000,"male","white","no","high school",74,38
"205",70000,"male","white","no","university or higher",70,35
"207",50000,"male","white","no","university or higher",71,41
